be,быть,byt'
and,а также,a takzhe
of,из,iz
to,в,v
in,в,v
have,иметь,imet'
it,Это,Eto
you,вы,vy
he,он,on
for,для,dlya
they,Oни,Oni
not,не,ne
that,что,chto
we,мы,my
on,на,na
with,с,s
this,это,eto
i,я,ya
do,делать,delat'
as,в виде,v vide
at,в,v
she,она,ona
but,но,no
from,из,iz
by,от,ot
will,будем,budem
or,или,ili
say,сказать,skazat'
go,идти,idti
so,так,tak
all,все,vse
if,если,yesli
one,один,odin
would,бы,by
about,около,okolo
can,Можно,Mozhno
which,который,kotoryy
there,там,tam
know,знать,znat'
more,Больше,Bol'she
get,получить,poluchit'
who,кто,kto
like,как,kak
when,когда,kogda
think,думать,dumat'
make,делать,delat'
time,время,vremya
see,видеть,videt'
what,какие,kakiye
up,вверх,vverkh
some,некоторые,nekotoryye
other,Другие,Drugiye
out,вне,vne
good,хорошо,khorosho
people,люди,lyudi
year,год,god
take,принимать,prinimat'
no,нет,net
well,Что ж,Chto zh
because,потому как,potomu kak
very,очень,ochen'
just,просто,prosto
come,приехать,priyekhat'
could,мог,mog
work,Работа,Rabota
use,использование,ispol'zovaniye
than,чем,chem
now,Теперь,Teper'
then,тогда,togda
also,также,takzhe
into,в,v
only,только,tol'ko
look,смотреть,smotret'
want,хотеть,khotet'
give,дайте,dayte
first,первый,pervyy
new,новый,novyy
way,путь,put'
find,найти,nayti
over,над,nad
any,Любые,Lyubyye
after,после,posle
day,день,den'
where,где,gde
thing,вещь,veshch'
most,большинство,bol'shinstvo
should,должен,dolzhen
need,необходимость,neobkhodimost'
much,много,mnogo
right,правильно,pravil'no
how,как,kak
back,назад,nazad
mean,имею в виду,imeyu v vidu
even,даже,dazhe
may,май,may
here,Вот,Vot
many,многие,mnogiye
such,такие,takiye
last,последний,posledniy
child,ребенок,rebenok
tell,рассказать,rasskazat'
really,действительно,deystvitel'no
call,вызов,vyzov
before,до,do
company,Компания,Kompaniya
through,через,cherez
down,вниз,vniz
show,показать,pokazat'
life,жизнь,zhizn'
man,человек,chelovek
change,изменение,izmeneniye
place,место,mesto
long,длинный,dlinnyy
between,между,mezhdu
feel,Чувствовать,Chuvstvovat'
too,слишком,slishkom
still,все еще,vse yeshche
problem,проблема,problema
write,записывать,zapisyvat'
same,одна и та же,odna i ta zhe
lot,много,mnogo
great,Великий,Velikiy
try,пытаться,pytat'sya
leave,оставлять,ostavlyat'
number,номер,nomer
both,и то и другое,i to i drugoye
own,своя,svoya
part,часть,chast'
point,точка,tochka
little,немного,nemnogo
help,Помогите,Pomogite
ask,просить,prosit'
meet,встретить,vstretit'
start,Начало,Nachalo
talk,говорить,govorit'
something,что нибудь,chto nibud'
put,положил,polozhil
another,другой,drugoy
become,стали,stali
interest,интерес,interes
country,страна,strana
old,старый,staryy
each,каждый,kazhdyy
school,школа,shkola
late,поздно,pozdno
high,высокая,vysokaya
different,другой,drugoy
off,от,ot
next,следующий,sleduyushchiy
end,конец,konets
live,жить,zhit'
why,Зачем,Zachem
while,в то время как,v to vremya kak
world,Мир,Mir
week,неделю,nedelyu
play,играть,igrat'
might,мог бы,mog by
must,должен,dolzhen
home,Главная,Glavnaya
never,никогда,nikogda
include,включают,vklyuchayut
course,курс,kurs
house,дом,dom
report,доклад,doklad
group,группа,gruppa
case,дело,delo
woman,женщина,zhenshchina
around,вокруг,vokrug
book,книга,kniga
family,семья,sem'ya
seem,казаться,kazat'sya
let,позволять,pozvolyat'
again,еще раз,yeshche raz
kind,своего рода,svoyego roda
keep,держать,derzhat'
hear,заслушивать,zaslushivat'
system,система,sistema
every,каждый,kazhdyy
question,вопрос,vopros
during,в течение,v techeniye
always,всегда,vsegda
big,большой,bol'shoy
set,задавать,zadavat'
small,маленький,malen'kiy
study,изучение,izucheniye
follow,следовать,sledovat'
begin,начать,nachat'
important,важный,vazhnyy
since,поскольку,poskol'ku
run,бег,beg
under,под,pod
turn,очередь,ochered'
few,мало,malo
bring,приносить,prinosit'
early,рано,rano
hand,рука,ruka
state,государство,gosudarstvo
move,переехать,pereyekhat'
money,Деньги,Den'gi
fact,факт,fakt
however,Однако,Odnako
area,площадь,ploshchad'
provide,предоставлять,predostavlyat'
name,имя,imya
read,читать,chitat'
friend,друг,drug
month,месяц,mesyats
large,большой,bol'shoy
business,бизнес,biznes
without,без,bez
information,Информация,Informatsiya
open,открытый,otkrytyy
order,заказ,zakaz
government,правительство,pravitel'stvo
word,слово,slovo
issue,вопрос,vopros
market,рынок,rynok
pay,платить,platit'
build,строить,stroit'
hold,держать,derzhat'
service,оказание услуг,okazaniye uslug
against,против,protiv
believe,верить,verit'
second,второй,vtoroy
though,хоть,khot'
yes,да,da
love,люблю,lyublyu
increase,увеличение,uvelicheniye
job,работа,rabota
plan,план,plan
result,результат,rezul'tat
away,далеко,daleko
example,пример,primer
happen,случаться,sluchat'sya
offer,предлагает,predlagayet
young,молодой,molodoy
close,Закрыть,Zakryt'
program,программа,programma
lead,вести,vesti
buy,купить,kupit'
understand,Понимаю,Ponimayu
thank,спасибо,spasibo
far,далеко,daleko
today,Cегодня,Cegodnya
hour,час,chas
student,студент,student
face,лицо,litso
hope,надежда,nadezhda
sign,знак,znak
claim,Запрос,Zapros
relationship,отношения,otnosheniya
travel,путешествовать,puteshestvovat'
enjoy,наслаждаться,naslazhdat'sya
death,смерть,smert'
nice,хороший,khoroshiy
amount,количество,kolichestvo
improve,улучшать,uluchshat'
picture,картина,kartina
boy,мальчик,mal'chik
regard,что касается,chto kasayetsya
organization,организация,organizatsiya
happy,счастливый,schastlivyy
couple,пара,para
act,акт,akt
range,ассортимент,assortiment
quality,качественный,kachestvennyy
project,проект,proyekt
round,круглый,kruglyy
opportunity,возможность,vozmozhnost'
road,Дорога,Doroga
accord,согласие,soglasiye
list,список,spisok
wish,желание,zhelaniye
therefore,следовательно,sledovatel'no
wear,носить,nosit'
fund,фонд,fond
rest,отдых,otdykh
kid,дитя,ditya
industry,промышленность,promyshlennost'
education,образование,obrazovaniye
measure,измерение,izmereniye
kill,убийство,ubiystvo
serve,обслуживать,obsluzhivat'
likely,вероятно,veroyatno
certainly,безусловно,bezuslovno
national,национальный,natsional'nyy
itself,сам,sam
teach,учат,uchat
field,поле,pole
security,безопасность,bezopasnost'
air,воздух,vozdukh
benefit,выгода,vygoda
trade,сделка,sdelka
risk,риск,risk
news,Новости,Novosti
standard,стандарт,standart
vote,голос,golos
percent,процент,protsent
focus,фокус,fokus
stage,сцена,stsena
space,пространство,prostranstvo
instead,вместо,vmesto
realize,понимать,ponimat'
usually,как правило,kak pravilo
data,данные,dannyye
single,Один,Odin
address,адрес,adres
performance,представление,predstavleniye
chance,шанс,shans
accept,принимать,prinimat'
society,общество,obshchestvo
technology,технологии,tekhnologii
mention,упомянуть,upomyanut'
choice,выбор,vybor
save,спасти,spasti
common,общий,obshchiy
culture,культура,kul'tura
total,Всего,Vsego
demand,спрос,spros
material,материал,material
limit,предел,predel
listen,Слушать,Slushat'
due,в связи,v svyazi
wrong,неправильно,nepravil'no
foot,фут,fut
effort,усилие,usiliye
attention,внимание,vnimaniye
upon,на,na
check,проверить,proverit'
complete,полный,polnyy
lie,ложь,lozh'
pick,выбирать,vybirat'
reduce,уменьшить,umen'shit'
personal,личный,lichnyy
ground,земля,zemlya
animal,животное,zhivotnoye
arrive,прибыть,pribyt'
patient,пациент,patsiyent
current,текущий,tekushchiy
century,века,veka
evidence,доказательства,dokazatel'stva
exist,существовать,sushchestvovat'
similar,аналогичный,analogichnyy
fight,борьба,bor'ba
leader,лидер,lider
fine,отлично,otlichno
street,улица,ulitsa
former,бывший,byvshiy
contact,контакт,kontakt
particularly,в частности,v chastnosti
wife,жена,zhena
sport,спорт,sport
prepare,подготовить,podgotovit'
discuss,обсуждать,obsuzhdat'
response,ответ,otvet
voice,голос,golos
piece,кусок,kusok
finish,Конец,Konets
suppose,предполагать,predpolagat'
apply,подать заявление,podat' zayavleniye
president,президент,prezident
fire,Огонь,Ogon'
compare,сравнить,sravnit'
court,суд,sud
police,полиция,politsiya
store,магазин,magazin
poor,бедные,bednyye
knowledge,знание,znaniye
laugh,смех,smekh
arm,рука,ruka
heart,сердце,serdtse
source,источник,istochnik
employee,наемный рабочий,nayemnyy rabochiy
manage,управлять,upravlyat'
simply,просто,prosto
bank,банка,banka
firm,фирма,firma
cell,клетка,kletka
article,статья,stat'ya
fast,быстро,bystro
attack,атака,ataka
foreign,иностранные,inostrannyye
surprise,сюрприз,syurpriz
feature,особенность,osobennost'
factor,фактор,faktor
pretty,Симпатичная,Simpatichnaya
recently,в последнее время,v posledneye vremya
affect,аффект,affekt
drop,падение,padeniye
recent,недавний,nedavniy
relate,иметь отношение,imet' otnosheniye
official,официальный,ofitsial'nyy
financial,финансовый,finansovyy
miss,Мисс,Miss
art,Изобразительное искусство,Izobrazitel'noye iskusstvo
campaign,кампания,kampaniya
private,частный,chastnyy
pause,Пауза,Pauza
everyone,все,vse
forget,забывать,zabyvat'
page,страница,stranitsa
worry,беспокоиться,bespokoit'sya
summer,лето,leto
drink,напиток,napitok
opinion,мнение,mneniye
park,парк,park
represent,представлять,predstavlyat'
key,ключ,klyuch
inside,внутри,vnutri
manager,менеджер,menedzher
international,Международный,Mezhdunarodnyy
contain,содержать,soderzhat'
notice,уведомление,uvedomleniye
wonder,задаваться вопросом,zadavat'sya voprosom
nature,природа,priroda
structure,состав,sostav
section,раздел,razdel
myself,себя,sebya
exactly,в точку,v tochku
plant,растение,rasteniye
paint,покрасить,pokrasit'
worker,работник,rabotnik
press,Нажмите,Nazhmite
whatever,без разницы,bez raznitsy
necessary,необходимо,neobkhodimo
region,область,oblast'
growth,рост,rost
evening,вечер,vecher
influence,влияние,vliyaniye
respect,уважение,uvazheniye
various,различный,razlichnyy
catch,поймать,poymat'
thus,таким образом,takim obrazom
skill,умение,umeniye
attempt,попытка,popytka
son,сын,syn
simple,просто,prosto
medium,средний,sredniy
average,в среднем,v srednem
stock,акции,aktsii
management,управление,upravleniye
character,персонаж,personazh
bed,постель,postel'
hit,удар,udar
establish,установить,ustanovit'
indeed,в самом деле,v samom dele
final,окончательный,okonchatel'nyy
economy,экономика,ekonomika
fit,поместиться,pomestit'sya
guy,парень,paren'
function,функция,funktsiya
yesterday,вчера,vchera
image,образ,obraz
size,размер,razmer
behavior,поведение,povedeniye
addition,прибавление,pribavleniye
determine,определить,opredelit'
station,станция,stantsiya
population,Население,Naseleniye
fail,потерпеть неудачу,poterpet' neudachu
environment,Окружающая среда,Okruzhayushchaya sreda
production,производство,proizvodstvo
contract,контракт,kontrakt
player,игрок,igrok
comment,комментарий,kommentariy
enter,войти,voyti
occur,происходить,proiskhodit'
alone,в одиночестве,v odinochestve
significant,значительное,znachitel'noye
drug,лекарственное средство,lekarstvennoye sredstvo
wall,стена,stena
series,серии,serii
direct,непосредственный,neposredstvennyy
success,успех,uspekh
tomorrow,завтра,zavtra
director,директор,direktor
clearly,явно,yavno
lack,отсутствие,otsutstviye
review,обзор,obzor
depend,зависеть,zaviset'
race,раса,rasa
recognize,признать,priznat'
window,окно,okno
purpose,цель,tsel'
department,отдел,otdel
gain,усиление,usileniye
tree,дерево,derevo
college,колледж,kolledzh
argue,спорить,sporit'
board,доска,doska
holiday,день отдыха,den' otdykha
mark,отметка,otmetka
church,церковь,tserkov'
machine,машина,mashina
achieve,достигать,dostigat'
item,пункт,punkt
prove,доказывать,dokazyvat'
cent,цент,tsent
idea,идея,ideya
cost,Стоимость,Stoimost'
less,Меньше,Men'she
room,комната,komnata
until,до,do
reason,причина,prichina
form,форма,forma
spend,проводить,provodit'
head,глава,glava
car,автомобиль,avtomobil'
learn,учить,uchit'
level,уровень,uroven'
person,человек,chelovek
experience,опыт,opyt
once,один раз,odin raz
member,член,chlen
enough,достаточно,dostatochno
bad,Плохо,Plokho
city,город,gorod
night,ночь,noch'
able,в состоянии,v sostoyanii
support,поддержка,podderzhka
whether,будь то,bud' to
line,линия,liniya
present,настоящее время,nastoyashcheye vremya
side,боковая сторона,bokovaya storona
quite,довольно,dovol'no
although,несмотря на то что,nesmotrya na to chto
sure,конечно,konechno
term,срок,srok
least,наименее,naimeneye
age,возраст,vozrast
low,низкий,nizkiy
speak,говорить,govorit'
within,в,v
process,обработать,obrabotat'
public,общественности,obshchestvennosti
often,довольно часто,dovol'no chasto
train,поезд,poyezd
possible,возможное,vozmozhnoye
actually,на самом деле,na samom dele
rather,скорее,skoreye
view,Посмотреть,Posmotret'
together,вместе,vmeste
consider,рассматривать,rassmatrivat'
price,цена,tsena
parent,родитель,roditel'
hard,жесткий,zhestkiy
party,вечеринка,vecherinka
local,местный,mestnyy
control,контроль,kontrol'
already,уже,uzhe
concern,беспокойство,bespokoystvo
product,продукт,produkt
lose,потерять,poteryat'
story,история,istoriya
almost,почти,pochti
continue,Продолжать,Prodolzhat'
stand,стоять,stoyat'
whole,все,vse
yet,все же,vse zhe
rate,ставка,stavka
care,забота,zabota
expect,ожидать,ozhidat'
effect,эффект,effekt
sort,Сортировать,Sortirovat'
ever,Когда-либо,Kogda-libo
anything,что-нибудь,chto-nibud'
cause,причина,prichina
fall,падать,padat'
deal,по рукам,po rukam
water,воды,vody
send,Отправить,Otpravit'
allow,позволять,pozvolyat'
soon,скоро,skoro
watch,смотреть,smotret'
base,база,baza
probably,вероятно,veroyatno
suggest,предлагать,predlagat'
past,мимо,mimo
power,мощность,moshchnost'
test,контрольная работа,kontrol'naya rabota
visit,посещение,poseshcheniye
center,центр,tsentr
grow,расти,rasti
nothing,ничего,nichego
return,вернуть,vernut'
mother,мама,mama
walk,ходить,khodit'
matter,дело,delo
mind,разум,razum
value,стоимость,stoimost'
office,офис,ofis
record,запись,zapis'
stay,оставаться,ostavat'sya
force,сила,sila
stop,стоп,stop
several,несколько,neskol'ko
light,легкий,legkiy
develop,развивать,razvivat'
remember,запомнить,zapomnit'
bit,немного,nemnogo
share,доля,dolya
real,реальный,real'nyy
answer,ответ,otvet
sit,сидеть,sidet'
figure,фигура,figura
letter,письмо,pis'mo
decide,принимать решение,prinimat' resheniye
language,язык,yazyk
subject,предмет,predmet
class,класс,klass
development,развитие,razvitiye
town,город,gorod
half,половина,polovina
minute,минут,minut
food,питание,pitaniye
break,ломать,lomat'
clear,Чисто,Chisto
future,будущее,budushcheye
either,или,ili
ago,тому назад,tomu nazad
per,в,v
remain,оставаться,ostavat'sya
top,Вверх,Vverkh
among,среди,sredi
win,выиграть,vyigrat'
color,цвет,tsvet
involve,включать,vklyuchat'
reach,достичь,dostich'
social,Социальное,Sotsial'noye
period,период,period
across,через,cherez
note,заметка,zametka
history,история,istoriya
create,Создайте,Sozdayte
drive,водить машину,vodit' mashinu
along,вдоль,vdol'
type,тип,tip
sound,звук,zvuk
eye,глаз,glaz
music,Музыка,Muzyka
game,игра,igra
political,политическая,politicheskaya
free,свободно,svobodno
receive,Получать,Poluchat'
moment,момент,moment
sale,продажа,prodazha
policy,политика,politika
further,в дальнейшем,v dal'neyshem
body,тело,telo
require,требовать,trebovat'
wait,Подождите,Podozhdite
general,Генеральная,General'naya
appear,появиться,poyavit'sya
toward,к,k
team,команда,komanda
easy,легко,legko
individual,индивидуальный,individual'nyy
full,полный,polnyy
black,черный,chernyy
sense,смысл,smysl
perhaps,возможно,vozmozhno
add,Добавить,Dobavit'
rule,правило,pravilo
pass,проходить,prokhodit'
produce,производить,proizvodit'
sell,продавать,prodavat'
short,короткая,korotkaya
agree,дать согласие,dat' soglasiye
law,закон,zakon
everything,все,vse
research,исследование,issledovaniye
cover,обложка,oblozhka
paper,бумага,bumaga
position,должность,dolzhnost'
near,возле,vozle
human,человек,chelovek
computer,компьютер,komp'yuter
situation,ситуация,situatsiya
staff,сотрудники,sotrudniki
activity,Мероприятия,Meropriyatiya
film,фильм,fil'm
morning,утро,utro
war,война,voyna
account,Счет,Schet
shop,магазин,magazin
major,главный,glavnyy
someone,кто то,kto to
above,выше,vyshe
design,дизайн,dizayn
event,мероприятие,meropriyatiye
special,особый,osobyy
sometimes,иногда,inogda
condition,состояние,sostoyaniye
carry,нести,nesti
choose,выберите,vyberite
father,отец,otets
decision,решение,resheniye
table,Таблица,Tablitsa
certain,определенный,opredelennyy
forward,вперед,vpered
main,главный,glavnyy
die,умереть,umeret'
bear,медведь,medved'
cut,порез,porez
describe,описывать,opisyvat'
himself,сам,sam
available,доступный,dostupnyy
especially,особенно,osobenno
strong,сильный,sil'nyy
rise,подъем,pod'yem
girl,девушка,devushka
maybe,может быть,mozhet byt'
community,сообщество,soobshchestvo
else,еще,yeshche
particular,конкретный,konkretnyy
role,роль,rol'
join,присоединиться,prisoyedinit'sya
difficult,сложно,slozhno
please,пожалуйста,pozhaluysta
detail,подробно,podrobno
difference,разница,raznitsa
action,действие,deystviye
health,здоровье,zdorov'ye
eat,есть,yest'
step,шаг,shag
TRUE,ПРАВДА,PRAVDA
phone,Телефон,Telefon
themselves,самих себя,samikh sebya
draw,привлечь,privlech'
white,белый,belyy
date,Дата,Data
practice,практика,praktika
model,модель,model'
raise,повышение,povysheniye
customer,клиент,kliyent
front,фронт,front
explain,объяснять,ob'yasnyat'
door,дверь,dver'
outside,за пределами,za predelami
behind,за,za
economic,экономической,ekonomicheskoy
site,сайт,sayt
approach,подход,podkhod
teacher,учитель,uchitel'
land,земельные участки,zemel'nyye uchastki
charge,заряд,zaryad
finally,в конце концов,v kontse kontsov
purchase,покупка,pokupka
season,время года,vremya goda
floor,пол,pol
stuff,материал,material
wide,широкий,shirokiy
anyone,кто угодно,kto ugodno
method,метод,metod
analysis,анализ,analiz
election,выборы,vybory
military,военные,voyennyye
hotel,Гостиница,Gostinitsa
club,клуб,klub
below,ниже,nizhe
movie,кино,kino
doctor,врач,vrach
discussion,обсуждение,obsuzhdeniye
sorry,Прости,Prosti
challenge,вызов,vyzov
nation,нация,natsiya
nearly,около,okolo
statement,заявление,zayavleniye
link,ссылка,ssylka
despite,несмотря,nesmotrya
introduce,вводить,vvodit'
advantage,преимущество,preimushchestvo
ready,готов,gotov
marry,выйти замуж,vyyti zamuzh
strike,забастовка,zabastovka
mile,мили,mili
seek,искать,iskat'
ability,способность,sposobnost'
unit,Ед. изм,Yed. izm
card,карта,karta
hospital,больница,bol'nitsa
quickly,быстро,bystro
interview,интервью,interv'yu
agreement,соглашение,soglasheniye
release,выпуск,vypusk
tax,налог,nalog
solution,решение,resheniye
capital,столица,stolitsa
popular,популярный,populyarnyy
specific,конкретный,konkretnyy
beautiful,красивая,krasivaya
fear,страх,strakh
aim,цель,tsel'
television,телевидение,televideniye
serious,серьезный,ser'yeznyy
target,цель,tsel'
degree,степень,stepen'
pull,вытащить,vytashchit'
red,красный,krasnyy
husband,муж,muzh
access,доступ,dostup
movement,движение,dvizheniye
treat,рассматривать,rassmatrivat'
identify,идентифицировать,identifitsirovat'
loss,потеря,poterya
shall,должен,dolzhen
modern,современное,sovremennoye
pressure,давление,davleniye
bus,автобус,avtobus
treatment,лечение,lecheniye
yourself,сам,sam
supply,поставка,postavka
village,деревня,derevnya
worth,стоимость,stoimost'
natural,натуральный,natural'nyy
express,экспресс,ekspress
indicate,указывать,ukazyvat'
attend,посещать,poseshchat'
brother,брат,brat
investment,инвестиции,investitsii
score,Гол,Gol
organize,организовать,organizovat'
trip,поездка,poyezdka
beyond,за,za
sleep,спать,spat'
fish,рыба,ryba
promise,обещание,obeshchaniye
potential,потенциал,potentsial
energy,энергия,energiya
trouble,беда,beda
relation,связь,svyaz'
touch,потрогать,potrogat'
file,файл,fayl
middle,средний,sredniy
bar,бар,bar
suffer,страдать,stradat'
strategy,стратегия,strategiya
deep,глубоко,gluboko
except,Кроме,Krome
clean,чистый,chistyy
tend,иметь тенденцию,imet' tendentsiyu
advance,продвижение,prodvizheniye
fill,заполнить,zapolnit'
star,звезда,zvezda
network,сеть,set'
generally,в общем,v obshchem
operation,операция,operatsiya
match,совпадение,sovpadeniye
avoid,избежать,izbezhat'
seat,сиденье,siden'ye
throw,бросать,brosat'
task,задача,zadacha
normal,нормальный,normal'nyy
goal,Цель,Tsel'
associate,ассоциировать,assotsiirovat'
blue,синий,siniy
positive,положительный,polozhitel'nyy
option,вариант,variant
box,коробка,korobka
huge,огромный,ogromnyy
message,сообщение,soobshcheniye
instance,пример,primer
style,стиль,stil'
refer,обращаться,obrashchat'sya
cold,холодно,kholodno
push,От себя,Ot sebya
quarter,четверть,chetvert'
assume,предполагать,predpolagat'
baby,детка,detka
successful,успешный,uspeshnyy
sing,петь,pet'
doubt,сомнение,somneniye
competition,соревнование,sorevnovaniye
theory,теория,teoriya
propose,предложить,predlozhit'
reference,Справка,Spravka
argument,аргумент,argument
adult,для взрослых,dlya vzroslykh
fly,летать,letat'
document,документ,dokument
pattern,шаблон,shablon
application,заявление,zayavleniye
hot,горячий,goryachiy
obviously,очевидно,ochevidno
unclear,не понятно,ne ponyatno
bill,законопроект,zakonoproyekt
search,поиск,poisk
separate,отдельный,otdel'nyy
central,центральный,tsentral'nyy
career,карьера,kar'yera
anyway,так или иначе,tak ili inache
speech,речь,rech'
dog,собака,sobaka
officer,сотрудник,sotrudnik
throughout,на протяжении,na protyazhenii
oil,масло,maslo
dress,платье,plat'ye
profit,прибыль,pribyl'
guess,Угадай,Ugaday
fun,весело,veselo
protect,защищать,zashchishchat'
resource,ресурс,resurs
science,наука,nauka
disease,болезнь,bolezn'
balance,баланс,balans
damage,наносить ущерб,nanosit' ushcherb
basis,основа,osnova
author,автор,avtor
basic,основной,osnovnoy
encourage,поощрять,pooshchryat'
hair,волосы,volosy
male,мужской,muzhskoy
operate,работать,rabotat'
reflect,отражать,otrazhat'
exercise,упражнение,uprazhneniye
useful,полезным,poleznym
restaurant,ресторан,restoran
income,доход,dokhod
property,имущество,imushchestvo
previous,предыдущий,predydushchiy
dark,темно,temno
imagine,представить,predstavit'
okay,Хорошо,Khorosho
earn,зарабатывать,zarabatyvat'
daughter,дочь,doch'
post,после,posle
newspaper,газета,gazeta
define,определять,opredelyat'
conclusion,вывод,vyvod
clock,Часы,Chasy
everybody,все,vse
weekend,выходные,vykhodnyye
perform,выполнять,vypolnyat'
professional,профессиональный,professional'nyy
mine,мой,moy
debate,обсуждение,obsuzhdeniye
memory,Память,Pamyat'
green,зеленый,zelenyy
song,песня,pesnya
object,объект,ob'yekt
maintain,поддерживать,podderzhivat'
credit,кредит,kredit
ring,кольцо,kol'tso
discover,обнаружить,obnaruzhit'
dead,мертвый,mertvyy
afternoon,после полудня,posle poludnya
prefer,предпочитать,predpochitat'
extend,простираться,prostirat'sya
possibility,возможность,vozmozhnost'
direction,направление,napravleniye
facility,объект,ob'yekt
variety,разнообразие,raznoobraziye
daily,ежедневно,yezhednevno
clothes,одежда,odezhda
screen,экран,ekran
track,трек,trek
dance,танец,tanets
completely,полностью,polnost'yu
female,женский пол,zhenskiy pol
responsibility,обязанность,obyazannost'
original,оригинал,original
sister,сестра,sestra
rock,камень,kamen'
dream,мечта,mechta
nor,ни,ni
university,Университет,Universitet
easily,без труда,bez truda
agency,агентство,agentstvo
dollar,доллар,dollar
garden,сад,sad
fix,фиксировать,fiksirovat'
ahead,впереди,vperedi
cross,пересекать,peresekat'
yeah,Да,Da
weight,вес,ves
legal,правовой,pravovoy
proposal,предложение,predlozheniye
version,версия,versiya
conversation,разговор,razgovor
somebody,кто-то,kto-to
pound,фунт,funt
magazine,журнал,zhurnal
shape,форма,forma
sea,море,more
immediately,немедленно,nemedlenno
welcome,добро пожаловать,dobro pozhalovat'
smile,улыбка,ulybka
communication,связь,svyaz'
agent,агент,agent
traditional,традиционный,traditsionnyy
replace,замещать,zameshchat'
judge,судья,sud'ya
herself,сама,sama
suddenly,вдруг внезапно,vdrug vnezapno
generation,поколение,pokoleniye
estimate,оценить,otsenit'
favorite,любимый,lyubimyy
difficulty,трудность,trudnost'
